generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1770768068-eDqsL4oyBACmVVG3voLw,2026-02-11 00:01:08.246,0.121722,0.02,0.02014,0,0,26864,66,61,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,3281,1795,OpenClaw,subcorp-openclaw
gen-1770768046-YZqpcOoO0w27JcWBP2pg,2026-02-11 00:00:46.924,0.119112,0.02,0.019066,0,0,25432,250,146,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,7164,1892,OpenClaw,subcorp-openclaw
gen-1770768025-NF1APQNPqS3Ba4N1TFvy,2026-02-11 00:00:25.159,0.144031,0.02,0.017387,0,0,32938,522,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,18066,2255,OpenClaw,subcorp-openclaw
gen-1770768017-XpBE2RPhvO961DraJk0f,2026-02-11 00:00:17.001,0.09626,0.02,0.01362,0,0,20145,147,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,3858,1485,OpenClaw,subcorp-openclaw
gen-1770768000-gKK3EQEzg1Ain0J83ilX,2026-02-11 00:00:00.337,0.103505,0.02,0.014838,0,0,19794,619,318,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,12157,1840,OpenClaw,subcorp-openclaw
gen-1770753630-a7BTjcdK5TxMnblANbkF,2026-02-10 20:00:30.305,0.116553,0.02,0.01921,0,0,25741,8,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1694,1689,OpenClaw,subcorp-openclaw
gen-1770753625-ZTkXnWGKfuMit72eNKDW,2026-02-10 20:00:25.199,0.118163,0.02,0.019248,0,0,25675,126,48,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,3168,1837,OpenClaw,subcorp-openclaw
gen-1770753618-sst8OB7MNh14vd2G2mGQ,2026-02-10 20:00:18.619,0.062821,0.02,0.00818,0,0,10917,126,118,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,4212,1352,OpenClaw,subcorp-openclaw
gen-1770753600-Mc2p8PgbvAxuqCHWsEh3,2026-02-10 20:00:00.234,0.06545,0.02,0.007626,0,0,10178,486,349,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,13570,1657,OpenClaw,subcorp-openclaw
gen-1770746498-xhSQtJ90Lu8WlAELMt4I,2026-02-10 18:01:38.856,0.115901,0.02,0.01908,0,0,25567,8,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,3089,2911,OpenClaw,subcorp-openclaw
gen-1770746492-AttIlyobyDGvImHOtlHq,2026-02-10 18:01:32.209,0.117695,0.02,0.019116,0,0,25498,139,55,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,4479,2963,OpenClaw,subcorp-openclaw
gen-1770746478-Q0FTcPtwsdbhjRpolxj7,2026-02-10 18:01:18.382,0.080716,0.02,0.011111,0,0,14825,342,236,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,9142,1419,OpenClaw,subcorp-openclaw
gen-1770746449-whYdKo9jU9Ytr8cBe1wP,2026-02-10 18:00:49.559,0.11525,0.02,0.018801,0,0,25078,81,78,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,3310,1213,OpenClaw,subcorp-openclaw
gen-1770746449-MtTAZuGxJwVgLAbwJPLu,2026-02-10 18:00:49.315,0.085711,0.02,0.00986,0,0,13157,1092,297,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,26579,1389,OpenClaw,subcorp-openclaw
gen-1770746436-ojw6iGvYvTV1v6l8fN5l,2026-02-10 18:00:35.902,0.116228,0.02,0.018342,0,0,24467,299,200,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,9651,2916,OpenClaw,subcorp-openclaw
gen-1770746420-nF29bfQkYE1P2wYyanmH,2026-02-10 18:00:20.261,0.105827,0.02,0.013806,0,0,22037,394,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,13280,1882,OpenClaw,subcorp-openclaw
gen-1770746400-8Kjx65EUDhIIDocJKg4N,2026-02-10 18:00:00.272,0.107341,0.02,0.014684,0,0,19589,926,453,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,15730,1485,OpenClaw,subcorp-openclaw
gen-1770739261-HVroLpHD7mhh0jtRGsOd,2026-02-10 16:01:01.134,0.109259,0.02,0.017751,0,0,23796,8,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,2145,2136,OpenClaw,subcorp-openclaw
gen-1770739255-2bUkGN4IF7KcJIj8Xss7,2026-02-10 16:00:55.296,0.118853,0.02,0.01935,0,0,25811,138,56,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,3923,1823,OpenClaw,subcorp-openclaw
gen-1770739239-Tn4TZuv43JFFawNG9su6,2026-02-10 16:00:39.108,0.075252,0.02,0.009886,0,0,13192,386,386,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,9901,1799,OpenClaw,subcorp-openclaw
gen-1770739224-Yl4bNhZIL0Bhgh4OKDja,2026-02-10 16:00:24.764,0.073847,0.02,0.009576,0,0,12862,379,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,11201,1431,OpenClaw,subcorp-openclaw
gen-1770739219-wewifOXa9YXtLZMbzFK6,2026-02-10 16:00:19.247,0.069269,0.02,0.00951,0,0,12763,98,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,2924,1610,OpenClaw,subcorp-openclaw
gen-1770739214-q2eQ6ltlewDvWeIGjbC7,2026-02-10 16:00:14.160,0.072567,0.02,0.009988,0,0,13763,86,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,2716,1215,OpenClaw,subcorp-openclaw
gen-1770739210-oKp4niSi8Y0c9c84RVnD,2026-02-10 16:00:10.048,0.065494,0.02,0.008867,0,0,11919,58,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,2284,1886,OpenClaw,subcorp-openclaw
gen-1770739200-yn6xdGGSTaa8BZbqOQPQ,2026-02-10 16:00:00.415,0.073816,0.02,0.009911,0,0,13225,282,235,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,7567,1629,OpenClaw,subcorp-openclaw
gen-1770732573-mppwihw4va8JCeZ0n5Rv,2026-02-10 14:09:33.313,0.10841,0.02,0.016974,0,0,22642,234,201,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,7514,2148,OpenClaw,subcorp-openclaw
gen-1770732033-PSSOSwxHbb8o0s961QAw,2026-02-10 14:00:33.187,0.108843,0.02,0.017668,0,0,23685,8,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1717,1717,OpenClaw,subcorp-openclaw
gen-1770732027-ejbBspUyCd05WEN17lAC,2026-02-10 14:00:27.201,0.112257,0.02,0.017914,0,0,23896,177,100,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,3668,1392,OpenClaw,subcorp-openclaw
gen-1770732016-navKY70FZt5hydEuD5rD,2026-02-10 14:00:16.237,0.065037,0.02,0.008182,0,0,10920,273,207,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,7378,1112,OpenClaw,subcorp-openclaw
gen-1770732000-GKfhWx8sWAJnb71Ik5Sm,2026-02-10 14:00:00.327,0.066106,0.02,0.00758,0,0,10117,545,369,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,13671,1067,OpenClaw,subcorp-openclaw
gen-1770731984-RYj5fnIw411MAlQsUD0o,2026-02-10 13:59:44.338,0.111149,0.02,0.018129,0,0,24300,8,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1562,1375,OpenClaw,subcorp-openclaw
gen-1770731979-wymr4CZNQvmz0kachbZO,2026-02-10 13:59:39.559,0.112471,0.02,0.018047,0,0,24073,147,62,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,tool_calls,tool_calls,3009,1342,OpenClaw,subcorp-openclaw
gen-1770731969-wrFaqqyd8WhwwLsnNWvw,2026-02-10 13:59:29.785,0.068933,0.02,0.008952,0,0,11947,276,306,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,7723,1558,OpenClaw,subcorp-openclaw
gen-1770731962-GTkBRjJkjdoxHaghXVsN,2026-02-10 13:59:22.264,0.071573,0.02,0.009261,0,0,12359,349,197,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,5478,1000,OpenClaw,subcorp-openclaw
gen-1770728408-ciNkSwHcmG6tERxhpC0c,2026-02-10 13:00:08.315,0.025776,0.02,,0,0,16712,305,259,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,2968,1999,OpenClaw,subcorp-openclaw
gen-1770724919-9Y2VfgvRKdYPdphsh2XY,2026-02-10 12:01:59.193,0.021544,0.02,,0,0,4697,54,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,668,348,,subcult-corp
gen-1770724910-Qn4ZmGJF5T8kriY2VwiC,2026-02-10 12:01:50.052,0.02152,0.02,,0,0,4428,77,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,1611,725,,subcult-corp
gen-1770724895-1V5KRUQav2N4ZUy138E7,2026-02-10 12:01:35.392,0.021799,0.02,,0,0,5658,41,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,7335,3431,,subcult-corp
gen-1770724884-BhK8KAtgn5KJfChh4D8L,2026-02-10 12:01:24.799,0.021532,0.02,,0,0,4701,49,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,1123,1113,,subcult-corp
gen-1770724870-jLoMXy4ARaZnwQa5ttJr,2026-02-10 12:01:10.331,0.021678,0.02,,0,0,4869,87,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,1005,558,,subcult-corp
gen-1770724856-o4SKyR51rBMCImOLJ9Df,2026-02-10 12:00:56.046,0.021635,0.02,,0,0,4635,98,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,1064,447,,subcult-corp
gen-1770724843-RYue3QIWveNfo76eehfc,2026-02-10 12:00:43.391,0.021565,0.02,,0,0,4743,57,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,3520,3165,,subcult-corp
gen-1770724830-FY7II6tGS5wabMXFPRPL,2026-02-10 12:00:30.365,0.021364,0.02,,0,0,4058,59,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,642,325,,subcult-corp
gen-1770724818-vcvOiwVaNe5Nd0xVVIFO,2026-02-10 12:00:18.439,0.025026,0.02,,0,0,15389,164,104,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,2656,1560,OpenClaw,subcorp-openclaw
gen-1770724815-LhDt1VMzQTNnULITqiSA,2026-02-10 12:00:15.420,0.021518,0.02,,0,0,4585,57,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,621,302,,subcult-corp
gen-1770724806-AGBhsxmbkMcly5C4yhqr,2026-02-10 12:00:06.507,0.025427,0.02,,0,0,16575,182,138,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,3044,2251,OpenClaw,subcorp-openclaw
gen-1770724803-py3YYSgtPAk43IBf9Imy,2026-02-10 12:00:02.894,0.021527,0.02,,0,0,4543,66,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,770,353,,subcult-corp
gen-1770715572-MpleoG0QiMqQjN7G7OBl,2026-02-10 09:26:12.091,0.017815,,,0,0,3063,100,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,length,length,4331,2844,,subcult-corp
gen-1770715568-hdoP9g1nxWrqZZ1aiiTM,2026-02-10 09:26:08.380,0.021575,0.02,,0,0,4744,61,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,869,547,,subcult-corp
gen-1770715556-PYifSgsKXI5AEm6PoDei,2026-02-10 09:25:56.457,0.021509,0.02,,0,0,4457,69,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,1412,995,,subcult-corp
gen-1770715544-JJjQbOCGNZ8BNb5wUCta,2026-02-10 09:25:44.610,0.021547,0.02,,0,0,4732,51,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,662,362,,subcult-corp
gen-1770715529-6JlYawyeWtonDyDBWNC2,2026-02-10 09:25:28.886,0.021603,0.02,,0,0,4510,100,0,0,google/gemini-2.5-flash,Google,standard,false,true,,MAX_TOKENS,length,839,378,,subcult-corp
gen-1770715515-x8BvnDpSNPE3uXqk5PrA,2026-02-10 09:25:15.795,0.021552,0.02,,0,0,4340,100,0,0,google/gemini-2.5-flash,Google,standard,false,true,,MAX_TOKENS,length,1004,468,,subcult-corp
gen-1770715506-1QTTpAySK7Z5bAnoyO4Z,2026-02-10 09:25:06.805,0.021351,0.02,,0,0,4121,46,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,580,370,,subcult-corp
gen-1770715497-SoHQKKljXlfAj6ZHCqPH,2026-02-10 09:24:57.803,0.02158,0.02,,0,0,4436,100,0,0,google/gemini-2.5-flash,Google,standard,false,true,,MAX_TOKENS,length,1451,709,,subcult-corp
gen-1770715489-GTeipgUs2YKRgwaJsiVY,2026-02-10 09:24:49.551,0.021337,0.02,,0,0,4076,46,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,1221,686,,subcult-corp
gen-1770715478-xOwZaLXWzzSToLy92aes,2026-02-10 09:24:38.859,0.021404,0.02,,0,0,4257,51,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,627,359,,subcult-corp
gen-1770715472-gUsOeQdyBnvliuIiRBlE,2026-02-10 09:24:32.032,0.020487,0.02,-0.000826,0,0,4022,43,0,3061,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,1283,999,,subcult-corp
gen-1770715459-sYI2FQw7dR0dZuIHe959,2026-02-10 09:24:19.208,0.02155,0.02,,0,0,4336,100,0,0,google/gemini-2.5-flash,Google,standard,false,true,,MAX_TOKENS,length,871,391,,subcult-corp
gen-1770715449-qFQjiP6f7FoWnPfvaRPF,2026-02-10 09:24:09.206,0.021523,0.02,,0,0,4519,67,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,580,287,,subcult-corp
gen-1770715440-Tg2PuEks921udcXzSa13,2026-02-10 09:24:00.161,0.021389,0.02,,0,0,4458,21,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,799,596,,subcult-corp
gen-1770715271-rR55wbfe6EG6Xx9TK1C5,2026-02-10 09:21:11.740,0.021489,0.02,,0,0,4647,38,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,860,441,,subcult-corp
gen-1770715260-UGrWPt6Za9DSnsX0h5UY,2026-02-10 09:21:00.648,0.021727,0.02,,0,0,5390,44,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,591,412,,subcult-corp
gen-1770715249-mf9jC4xVm8OIliVDC88g,2026-02-10 09:20:49.785,0.021477,0.02,,0,0,4541,46,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,2912,2520,,subcult-corp
gen-1770715241-MHk5eF4iaCcSvXbYSf3Z,2026-02-10 09:20:41.369,0.021509,0.02,,0,0,4791,29,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,529,305,,subcult-corp
gen-1770715227-9sIJAupNYuGYc79HHCrW,2026-02-10 09:20:27.464,0.021306,0.02,,0,0,4022,40,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,735,497,,subcult-corp
gen-1770715218-XpzQwsgOR2FXGAae6eym,2026-02-10 09:20:18.238,0.021381,0.02,,0,0,4163,53,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,262,226,,subcult-corp
gen-1770715208-0yPaK11aNjLrtpCvufJa,2026-02-10 09:20:08.315,0.021193,0.02,,0,0,3638,41,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,990,633,,subcult-corp
gen-1770715196-j224tL4teTd9VkSToWOm,2026-02-10 09:19:56.134,0.021367,0.02,,0,0,4118,53,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,708,337,,subcult-corp
gen-1770715179-AOAyLZnVhU2MEw2Q2sOT,2026-02-10 09:19:39.790,0.021172,0.02,,0,0,3575,40,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,642,327,,subcult-corp
gen-1770715170-qYauWLU2dazWWByStuql,2026-02-10 09:19:30.383,0.021254,0.02,,0,0,3866,38,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,678,408,,subcult-corp
gen-1770715158-ATz5L9XN8rZNjuw4kjfw,2026-02-10 09:19:18.287,0.021583,0.02,,0,0,4752,63,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,843,432,,subcult-corp
gen-1770713528-2U9mmfWUjTnElZweTN80,2026-02-10 08:52:08.671,0.087085,,,0,0,17382,7,0,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,stop,stop,775,733,OpenClaw,subcorp-openclaw
gen-1770713517-zWxhQlEwGj5gCFAWnk9H,2026-02-10 08:51:57.646,0.088125,,,0,0,16985,128,26,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,stop,stop,4257,1405,OpenClaw,subcorp-openclaw
gen-1770713511-nVY3ZWN9Vg4j0Touxi1g,2026-02-10 08:51:50.530,0.004846,,,,0,12022,496,204,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,4609,1661,OpenClaw,subcorp-openclaw
gen-1770713498-cw92OaNCy7iNpObfRYjt,2026-02-10 08:51:38.774,0.084785,,,0,0,14797,432,31,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,tool_calls,tool_calls,7113,2006,OpenClaw,subcorp-openclaw
gen-1770711429-IFwWG0Rt0VD0X2NMv6xW,2026-02-10 08:17:09.270,0.004709,,,,0,11756,473,280,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,3539,1792,OpenClaw,subcorp-openclaw
gen-1770711420-kyINc2RfHVshhxQnZsbq,2026-02-10 08:16:59.950,0.084285,,,0,0,14672,437,30,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,tool_calls,tool_calls,6611,1460,OpenClaw,subcorp-openclaw
gen-1770710881-VmmObWtULu86GhQwpVTK,2026-02-10 08:08:01.709,0.003349,,,,0,10324,101,51,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,968,829,OpenClaw,subcorp-openclaw
gen-1770710875-kk31gGiqqFQi4uaACIRo,2026-02-10 08:07:55.237,0.077335,,,0,0,14672,159,46,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_calls,tool_calls,4866,2216,OpenClaw,subcorp-openclaw
gen-1770710694-MkDwkBCSjBnU8bPI0gJN,2026-02-10 08:04:54.634,0.004157,,,,0,10618,389,188,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,3102,1874,OpenClaw,subcorp-openclaw
gen-1770710688-usFFWXj9HE4VTwJjcx1w,2026-02-10 08:04:48.408,0.078425,,,0,0,14700,197,124,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,tool_calls,tool_calls,5052,775,OpenClaw,subcorp-openclaw
gen-1770710682-KZ8oEsIqMTHOldbHPyZH,2026-02-10 08:04:42.356,0.003736,,,,0,10297,259,128,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,2853,1963,OpenClaw,subcorp-openclaw
gen-1770710674-IHnjB5r11LzrjSzwzXIi,2026-02-10 08:04:34.024,0.080455,,,0,0,14711,276,31,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_calls,tool_calls,5329,2379,OpenClaw,subcorp-openclaw